Id,Predicted
7452475,0.0
7071865,0.0
9302616,0.0
7562317,0.0
5940084,0.0
9586548,0.0
2943410,0.0
9617317,0.0
2280114,0.0
7138022,0.0
2331237,0.0
7698192,0.0
8897454,0.0
9972585,0.0
2477543,0.0
4041492,0.0
7837501,0.0
5351394,0.0
7341785,0.0
2155375,0.0
2161265,0.0
9958558,0.0
2413326,0.0
5774192,0.0
6564612,0.0
4245487,0.0
6868720,0.0
5330019,0.0
3689569,0.0
2497372,0.0
4447232,0.0
8475804,0.0
1161299,0.0
8687889,0.0
6599921,0.0
9482384,0.0
1237586,0.0
4945433,0.0
6980721,0.0
8562768,0.0
9879364,0.0
8556360,0.0
8042027,0.0
5480332,0.0
6855266,0.0
3966159,0.0
9946972,0.0
9374984,0.0
7464103,0.0
5456407,0.0
3146024,0.0
8737964,0.0
2076518,0.0
6428828,0.0
5470184,0.0
7703838,0.0
9981103,0.0
6695332,0.0
6667335,0.0
7515511,0.0
7064800,0.0
3306032,0.0
2401695,0.0
8726311,0.0
3040508,0.0
4546032,0.0
1383977,0.0
7812755,0.0
8496237,0.0
8874192,0.0
5932645,0.0
7128436,0.0
3677070,0.0
9919938,0.0
4487218,0.0
8273392,0.0
8256824,0.0
7060222,0.0
9409976,0.0
3261833,0.0
2075338,0.0
6619416,0.0
5560751,0.0
9711327,0.0
3634999,0.0
5928635,0.0
9811498,0.0
1052022,0.0
9039662,0.0
1016681,0.0
1527506,0.0
8221997,0.0
6272916,0.0
6980832,0.0
3590131,0.0
5651767,0.0
1241757,0.0
6622069,0.0
7753239,0.0
5903612,0.0
5905139,0.0
9060214,0.0
3676297,0.0
3857616,0.0
7203514,0.0
2703407,0.0
3463842,0.0
2969404,0.0
9097479,0.0
7362707,0.0
3502454,0.0
2060968,0.0
7623344,0.0
7185944,0.0
6060911,0.0
1619874,0.0
7709597,0.0
3186377,0.0
5510103,0.0
1248091,0.0
3717997,0.0
3585028,0.0
1882477,0.0
3802349,0.0
7887227,0.0
5304465,0.0
1728025,0.0
5033848,0.0
4654896,0.0
2028630,0.0
8070650,0.0
5823957,0.0
9305561,0.0
5536098,0.0
6001469,0.0
1535667,0.0
9661057,0.0
9657215,0.0
5227838,0.0
7388128,0.0
6807954,0.0
1524169,0.0
7803126,0.0
1891609,0.0
3236327,0.0
7929387,0.0
7283725,0.0
7590161,0.0
1408897,0.0
7736015,0.0
7011183,0.0
6779530,0.0
3895462,0.0
3947441,0.0
4318520,0.0
5019434,0.0
7958985,0.0
7331487,0.0
2386101,0.0
6925441,0.0
6004588,0.0
5539861,0.0
4163162,0.0
3064421,0.0
9731216,0.0
3199959,0.0
5992160,0.0
5295778,0.0
1773067,0.0
9191289,0.0
1886486,0.0
6079346,0.0
4111131,0.0
2929845,0.0
5052527,0.0
5884667,0.0
3944122,0.0
8472618,0.0
3632867,0.0
8641692,0.0
4742705,0.0
9702850,0.0
2679287,0.0
3250813,0.0
5704361,0.0
6339778,0.0
3033142,0.0
8043868,0.0
7334375,0.0
1007209,0.0
5929130,0.0
3167631,0.0
5951817,0.0
7842103,0.0
3257020,0.0
5537353,0.0
7243753,0.0
2824400,0.0
4952281,0.0
6640650,0.0
3957438,0.0
3043969,0.0
5249918,0.0
8129207,0.0
1301242,0.0
3047101,0.0
9418197,0.0
5210357,0.0
1517072,0.0
4817568,0.0
6182307,0.0
5292511,0.0
1833420,0.0
8511135,0.0
8197308,0.0
8422151,0.0
6362321,0.0
5393346,0.0
3377595,0.0
2667640,0.0
3585120,0.0
7714224,0.0
4247052,0.0
1823030,0.0
3564530,0.0
7074776,0.0
4245604,0.0
7683860,0.0
4905335,0.0
3053259,0.0
3366587,0.0
8032450,0.0
7429610,0.0
2034623,0.0
1603585,0.0
4721635,0.0
2900156,0.0
4751829,0.0
3237608,0.0
1055804,0.0
7562405,0.0
6976543,0.0
