Id,Actual
5694059,1.8377939297
9129611,0.0020670603
8058479,4.5885170141
1315360,2.3258350028
6813515,0.8723087994
3675670,0.0010372933
4789495,1.8185921571
7914064,1.6321021042
6243184,2.4989840685
2228590,3.5499636399
2782798,1.5954252889
8553726,0.0007520343
2490274,1.2609991550
6788290,2.6364954703
8477445,1.1919624925
3701779,1.2639781978
4890349,3.4033004973
1284205,2.7371614642
9391198,1.2464034351
5099383,0.0004918052
7683065,1.2415882932
3652340,1.5366446901
7559502,1.3004874434
3651013,0.0003097999
8741355,0.2723331918
5616871,1.2029493676
8759126,3.3162533265
5853098,0.8258447660
7974389,0.0009603127
8381017,3.1095556676
6118515,1.4818665007
5031156,0.6201076544
7479175,1.3858386223
2612198,3.5723533076
5045499,1.2112475549
1336861,2.9954381686
2631966,1.3274080864
8869508,1.2645191805
3062781,1.3682216291
7839042,1.2916718987
9630852,1.5623190976
6955304,0.2807940244
8462987,1.6514150841
2457801,1.3009711638
7952766,0.0005402190
6551701,4.5570267455
4997962,2.1925891192
3882949,1.4009842873
1328828,1.3122350639
4717882,0.5685389356
2033045,1.5313659846
8538519,2.8191991245
5763967,1.2150532658
7648650,1.3937030715
7838840,0.4882960755
7223702,1.6553207154
4078002,0.0007896743
6892815,1.7083198838
5294055,2.5575672485
1382587,0.2054289948
7544148,0.0005973202
8310484,0.5478007662
2676769,1.4009869777
8134232,2.7417213015
2515135,1.3667945345
7130406,1.4223604042
7286237,1.4332066167
3932761,2.0862838974
2254947,1.5196446304
9527106,3.8489671961
6011239,0.7806404249
1549927,0.0017479758
8606547,1.2112324919
6415244,1.8081487103
5808251,2.3886912699
3984899,1.1763612440
5907330,1.4119261505
2902001,2.9262356451
5074461,5.3493670173
9729846,0.0008489362
9958470,1.3464900315
3119681,1.4109410419
5366300,2.1510688599
3004089,0.0024866352
5916755,2.0721104667
7941654,2.2080297536
8121601,0.6809697586
9290111,0.4576558426
5510760,3.4054527286
8221692,1.1716276498
2853257,1.6985887751
1613761,1.3069906892
6922456,0.0005254623
4539916,1.7701555565
2356003,3.1546053070
2299575,4.1193462261
7675013,2.9476074986
5017174,1.9517616487
5289207,2.5002551534
2808053,0.0009938473
9166175,0.5135067737
1648275,0.5133745961
9022364,1.7838980773
1038705,1.5031245235
8532926,2.4748898184
4854622,2.4901627921
8536790,1.4237648051
5621848,1.2575783122
7411789,2.2465693725
6328459,1.4798763349
2607204,2.6799184481
8469715,1.8898282107
1152548,0.0018054487
5801736,1.5479263012
2334106,0.0007062759
9199327,3.1707641901
9047555,1.7510373922
3536583,4.8683435669
2424805,1.5688697408
3223744,1.8293271312
6392352,0.7489343995
9939738,1.5866888286
1019406,1.7375003673
3445182,1.4646687650
7140771,1.2141010028
8241518,2.5056743812
7470980,0.4543544840
9557951,0.8726272790
9431455,1.1091678848
6516364,1.7506299776
2607742,0.0006238556
5540916,1.6009496276
3767049,1.6549227574
3776862,2.7328510963
2337368,1.6318698628
7067819,0.0005069364
6259847,1.2120533342
3548003,0.0039502909
1341423,2.9547212511
5267162,1.5358674378
5375072,0.0009529898
1973715,3.5243228303
6637935,4.0383087400
3135678,0.7857843856
4161775,0.6146735038
9366110,0.4869715580
